Reaktionsdatum,Reaktionstyp,Übergeordneter Typ,Übergeordnete ID
"25.01.2020, 19:35:32",Kudos,Aktivität,3039866705
"26.01.2020, 11:50:10",Kudos,Aktivität,3044063067
"26.01.2020, 11:52:13",Kudos,Aktivität,3041566328
"31.01.2020, 06:29:02",Kudos,Aktivität,3058331473
"18.02.2020, 20:34:52",Kudos,Aktivität,3110332165
"18.02.2020, 20:34:52",Kudos,Aktivität,3110263030
"23.02.2020, 21:07:35",Kudos,Aktivität,3125668514
"23.02.2020, 21:07:54",Kudos,Aktivität,3125283005
"23.02.2020, 21:08:09",Kudos,Aktivität,3124614514
"23.02.2020, 21:08:17",Kudos,Aktivität,3124646830
"23.02.2020, 21:08:25",Kudos,Aktivität,3126109976
"27.02.2020, 15:10:19",Kudos,Aktivität,3130190702
"02.03.2020, 07:11:42",Kudos,Aktivität,3145254882
"02.03.2020, 07:11:57",Kudos,Aktivität,3146545655
"02.03.2020, 07:12:02",Kudos,Aktivität,3146544911
"02.03.2020, 07:12:48",Kudos,Aktivität,3142323706
"02.03.2020, 07:13:06",Kudos,Aktivität,3141323343
"05.03.2020, 12:24:08",Kudos,Aktivität,3153577369
"05.03.2020, 12:24:28",Kudos,Aktivität,3154169540
"05.03.2020, 12:25:56",Kudos,Aktivität,3151133845
"05.03.2020, 12:26:08",Kudos,Aktivität,3153809220
"05.03.2020, 12:26:32",Kudos,Aktivität,3149650470
"05.03.2020, 12:26:35",Kudos,Aktivität,3147320290
"05.03.2020, 12:26:53",Kudos,Aktivität,3149895685
"05.03.2020, 12:26:59",Kudos,Aktivität,3150180309
"05.03.2020, 12:27:12",Kudos,Aktivität,3149560960
"05.03.2020, 12:27:15",Kudos,Aktivität,3149537844
"07.03.2020, 16:40:08",Kudos,Aktivität,3162597614
"11.03.2020, 08:32:21",Kudos,Aktivität,3173321839
"15.03.2020, 08:49:20",Kudos,Aktivität,3184415661
"15.03.2020, 08:49:29",Kudos,Aktivität,3182873370
"15.03.2020, 08:49:33",Kudos,Aktivität,3182674215
"15.03.2020, 08:49:53",Kudos,Aktivität,3184106260
"15.03.2020, 08:49:58",Kudos,Aktivität,3183575982
"15.03.2020, 08:50:02",Kudos,Aktivität,3181790636
"15.03.2020, 08:50:07",Kudos,Aktivität,3182787945
"15.03.2020, 08:50:15",Kudos,Aktivität,3182434600
"15.03.2020, 20:58:57",Kudos,Aktivität,3185736153
"15.03.2020, 20:59:56",Kudos,Aktivität,3185715217
"15.03.2020, 21:00:07",Kudos,Aktivität,3185073925
"15.03.2020, 21:00:17",Kudos,Aktivität,3185303930
"16.03.2020, 12:16:19",Kudos,Aktivität,3187172698
"16.03.2020, 12:16:23",Kudos,Aktivität,3187769779
"16.03.2020, 12:16:26",Kudos,Aktivität,3187721218
"16.03.2020, 12:16:28",Kudos,Aktivität,3187769275
"16.03.2020, 12:16:31",Kudos,Aktivität,3187769618
"16.03.2020, 12:16:32",Kudos,Aktivität,3187769578
"21.03.2020, 21:38:24",Kudos,Aktivität,3204021120
"21.03.2020, 21:38:50",Kudos,Aktivität,3200780839
"21.03.2020, 21:39:46",Kudos,Aktivität,3204161972
"21.03.2020, 21:39:46",Kudos,Aktivität,3203710263
"23.03.2020, 14:47:05",Kudos,Aktivität,3207434273
"27.03.2020, 13:27:20",Kudos,Aktivität,3221150740
"27.03.2020, 13:27:53",Kudos,Aktivität,3221045569
"28.03.2020, 16:22:08",Kudos,Aktivität,3227141299
"28.03.2020, 16:22:41",Kudos,Aktivität,3226996085
"30.03.2020, 11:55:53",Kudos,Aktivität,3234348092
"05.04.2020, 06:59:37",Kudos,Aktivität,3255664187
"05.04.2020, 06:59:41",Kudos,Aktivität,3254258809
"05.04.2020, 06:59:52",Kudos,Aktivität,3254590441
"05.04.2020, 07:00:10",Kudos,Aktivität,3253301409
"06.04.2020, 04:58:00",Kudos,Aktivität,3259431919
"06.04.2020, 04:58:31",Kudos,Aktivität,3259221741
"06.04.2020, 04:58:34",Kudos,Aktivität,3257294900
"06.04.2020, 04:58:42",Kudos,Aktivität,3257189209
"06.04.2020, 04:58:45",Kudos,Aktivität,3257190735
"07.04.2020, 08:59:05",Kudos,Aktivität,3262839821
"07.04.2020, 08:59:07",Kudos,Aktivität,3262851948
"09.04.2020, 11:24:53",Kudos,Aktivität,3272349010
"09.04.2020, 11:26:34",Kudos,Aktivität,3271708741
"10.04.2020, 17:34:57",Kudos,Aktivität,3280208385
"10.04.2020, 17:35:11",Kudos,Aktivität,3280052885
"10.04.2020, 17:35:23",Kudos,Aktivität,3279825464
"10.04.2020, 17:35:43",Kudos,Aktivität,3275897876
"10.04.2020, 17:35:45",Kudos,Aktivität,3275800260
"11.04.2020, 15:17:50",Kudos,Aktivität,3284111426
"11.04.2020, 15:17:52",Kudos,Aktivität,3284111743
"11.04.2020, 15:17:54",Kudos,Aktivität,3284111533
"11.04.2020, 15:18:15",Kudos,Aktivität,3282933818
"12.04.2020, 13:24:37",Kudos,Aktivität,3288648716
"12.04.2020, 13:24:56",Kudos,Aktivität,3285311095
"12.04.2020, 13:24:59",Kudos,Aktivität,3286873363
"12.04.2020, 13:25:06",Kudos,Aktivität,3285051406
"12.04.2020, 13:25:15",Kudos,Aktivität,3287833273
"12.04.2020, 13:25:33",Kudos,Aktivität,3285136696
"12.04.2020, 13:25:39",Kudos,Aktivität,3285690323
"12.04.2020, 13:25:41",Kudos,Aktivität,3285049114
"12.04.2020, 13:25:45",Kudos,Aktivität,3285740410
"12.04.2020, 13:25:48",Kudos,Aktivität,3285517620
"12.04.2020, 13:25:54",Kudos,Aktivität,3287487500
